genes,AURKA,ESPL1,SHCBP1,CEP55,KIF18B,CENPE,CLSPN,IQGAP3,ORC6,UHRF1,BIRC5,CDK1,RAD54L,MYBL2,ASPM,KNL1,DLGAP5,MKI67,FOXM1,FAM64A,PIF1,HJURP,ESCO2,RAD51,BUB1B,GTSE1,PRR11,KIF11,TOP2A,TROAP,TYMS,ASF1B,HMMR,SKA3,KIF15,NCAPG,CDC45,ARHGAP11A,NUSAP1,CDCA8,NUF2,E2F8,BUB1,NDC80,AURKB,PKMYT1,E2F2,SPC24,CENPF,KIF14,UBE2C,DEPDC1B,POLQ,CDCA5,SKA1,TTK,TACC3,RAD51AP1,RRM2,PTTG1,PCLAF,TPX2,PLK1,ZWINT,CCNB2,ANLN,KIF20A,EXO1,KIF4A,DEPDC1,MELK,CENPM,CKAP2L
AURKA,1.0,0.050996657499798,0.0445192840387032,0.14527030082743,0.106835692003376,0.0303888443554517,0.0459305946539575,0.116372020959082,0.0299036087616232,0.0420566828965605,0.0774547319299313,0.0357311911028087,0.0289002409872502,0.162524504054613,0.131014635078602,0.163124315886016,0.254815169952221,0.222985441872134,0.125131210831447,0.0590738774406843,0.0267129883849248,0.173057384693589,0.14020467584032,0.0714311029264415,0.127740009918596,0.236148538518718,0.0492295941192004,0.133176066219981,0.149981442574665,0.12564438651766,0.0822233995677914,0.0832962734664605,0.205751374738966,0.109456676695956,0.0465185151232375,0.223956895878696,0.0289787475019071,0.0261177196791817,0.168187773729489,0.0617943016059948,0.0551746986066837,0.0996854523417202,0.225807804647475,0.123357158015044,0.0602809602909123,0.129996645152053,0.0443776589018931,0.0458864968546873,0.073020278524531,0.11842736720926,0.11591169457622,0.0677207512404459,0.100633854256488,0.170374506308385,0.154046721281231,0.0350886601684315,0.0420004581863239,0.0520013205294714,0.200039997054888,0.0363155069271481,0.111175745821541,0.121095975702912,0.100569602686221,0.0338669678158436,0.0793177113170023,0.113244377106303,0.216975949525307,0.0578446780221007,0.196997329997929,0.108481635102731,0.189674322056085,0.029944985883176,0.171664246338821
ESPL1,0.050996657499798,1.0,0.0566179981813074,0.0796508442461216,0.193136558797059,0.0490422000157186,0.0472930533609682,0.171941332230804,0.068619370508559,0.0712127637880841,0.0675491155446341,0.0512037846726086,0.0650456311745026,0.183636893955156,0.146125605325047,0.12110470296895,0.260225065211637,0.189533730552556,0.16395383752071,0.123073945403127,0.0686355840225984,0.257147809178076,0.192955055883915,0.105077229499715,0.171355818905371,0.212797809730097,0.0345902783949074,0.158219261041975,0.241886359006367,0.225869802056395,0.137603256029481,0.124164384434128,0.163747442189895,0.148374599613895,0.0770351482937506,0.258826681107719,0.0660620566587338,0.0405283862732437,0.253291385110338,0.0695548712796239,0.0666662596580724,0.121874311283531,0.221483099635087,0.148879447234197,0.087112900359882,0.182110903682571,0.072434406600392,0.0615874816200697,0.122932164888997,0.128985952644169,0.183018334750381,0.0765347623217154,0.14184966318903,0.226370492055784,0.147855154357295,0.057329657554843,0.0578358894572295,0.0515067000634205,0.159715626630809,0.0532863965459737,0.132110629383048,0.1279219244605,0.0616456082202918,0.055719236924167,0.0989877443306095,0.0965404041622052,0.247796327429403,0.113268798610608,0.225486038209008,0.145373095506408,0.202309167137876,0.0664182981509942,0.15861895686096
SHCBP1,0.0445192840387032,0.0566179981813074,1.0,0.114696771564806,0.108053795257752,0.0263162283539548,0.0368623232400998,0.109137168773986,0.0334881531369533,0.0475718924598013,0.0702178347771863,0.0274998131371908,0.0309053384175172,0.145709212558113,0.134083453774831,0.123754659666652,0.229110578322423,0.188453139586258,0.128986142127206,0.062372896447584,0.0267763579493337,0.168291959167824,0.133921944749669,0.0723919149310638,0.130994222882538,0.211859106491477,0.0339349698314967,0.136276615075385,0.153701414861253,0.125355337949666,0.090272461097011,0.0857955812996644,0.170886465352972,0.11083502393732,0.0445974872025943,0.21222075383912,0.0315638544146185,0.0213081817519748,0.169440378777304,0.052702897947904,0.0516675756331616,0.0951142095491941,0.195985945935028,0.123924298731449,0.0630234003520883,0.124521001641563,0.0412201552200386,0.0466938735821325,0.0790246187502235,0.119979140089612,0.115772882047852,0.0551050875547425,0.103856883979535,0.160829331556345,0.147466151723607,0.0301701896071612,0.0317900291672916,0.0373585739228352,0.169460424398897,0.0300579477178527,0.104574588157942,0.11874757351918,0.0769604930514366,0.0333181618101532,0.0794247312185885,0.11347347727258,0.212829644064529,0.0616515073781451,0.195431899069981,0.106210905159186,0.178315091747033,0.0245735896154671,0.16624864357303
CEP55,0.14527030082743,0.0796508442461216,0.114696771564806,1.0,0.132595256534107,0.0862647546377307,0.148294228581466,0.145207806373933,0.0313720028178193,0.0669921083757915,0.134731613411659,0.101583419005653,0.033058459647625,0.199240125495988,0.200449930660766,0.191615358215945,0.340761393717941,0.302017576306905,0.149939143413264,0.0688461100149563,0.0581905563236166,0.220151939239301,0.174090243103137,0.0728054287358709,0.138957715889711,0.328869843591068,0.144725178391278,0.149461517382163,0.184448798790674,0.139215748143843,0.0886396826890296,0.0847751502161209,0.270347004322359,0.130725340192936,0.0591152089942396,0.297379971114846,0.0338783062514664,0.0719012235073557,0.212217278475405,0.0631528959116217,0.0881953686317432,0.136948604460379,0.25880946405274,0.1636205265014,0.0884252324005936,0.143261473119054,0.113851400169266,0.131924484228396,0.083281981682995,0.174870598604448,0.146148822952701,0.0977462144120923,0.112011162194707,0.188165733565662,0.204785481701227,0.0463047856558918,0.104972042948853,0.0695173057074309,0.27730200484792,0.0834888952491438,0.130844840395773,0.167480557460306,0.19271029864149,0.0323804675717034,0.0918080498812676,0.181134082616691,0.305601359093904,0.0597566551172197,0.267740177958612,0.132165556092081,0.26185938055155,0.0578570941006604,0.266071440874173
KIF18B,0.106835692003376,0.193136558797059,0.108053795257752,0.132595256534107,1.0,0.128985023612986,0.127299793727665,0.303319719723524,0.189669755843681,0.175033222226393,0.17713030230304,0.146641427402433,0.232563796273113,0.233810952622153,0.195294967440039,0.170434585624441,0.314804851673237,0.205648881481527,0.21277987805479,0.313113897708373,0.259105827312712,0.348026735000916,0.268009836819431,0.200143773543454,0.186324330331547,0.231959578373727,0.0745042850976786,0.186244718229011,0.340526820544735,0.287243233166407,0.218086203816445,0.178063765370742,0.173896098702469,0.224232772477917,0.218007145800982,0.348751466178384,0.232573948801143,0.123563444861406,0.361450365157821,0.141752776004525,0.153509646787955,0.215836776820972,0.24208499083677,0.199201898697958,0.209341193057922,0.199464222048965,0.136691502945945,0.175553735644658,0.192373276149139,0.180950157443369,0.309447598437585,0.189677221931127,0.208389730651998,0.271721216678171,0.200971350667238,0.113398461661978,0.130711080929892,0.109317468360555,0.198050090287576,0.125784443041256,0.238400718107064,0.21185361964314,0.130131574252501,0.15858407750674,0.148182983781889,0.173753108340748,0.29933056680546,0.242229493431948,0.273801460179414,0.230480918214713,0.275222143915136,0.119378868018256,0.197934869763728
CENPE,0.0303888443554517,0.0490422000157186,0.0263162283539548,0.0862647546377307,0.128985023612986,1.0,0.0390229486322398,0.124716180033615,0.0335433805558583,0.0403735833609709,0.0641270432718808,0.0291163652585442,0.0348843790624091,0.123362994289156,0.149357165357859,0.11744781674555,0.218277651906622,0.15753690301325,0.126300750949582,0.0761315887673159,0.0316898071586343,0.178396031907175,0.133798236615009,0.0673072417035903,0.114466313489476,0.187682573613911,0.0240889204324431,0.12853060929892,0.178124456189516,0.132742357966888,0.0858585483894747,0.0633255324740979,0.148771921340651,0.109436477923045,0.0553409152171169,0.218739823605783,0.0353967791003277,0.03480072618821,0.186897736039201,0.0442363720611152,0.060937736221009,0.0891439321450135,0.181937077836465,0.130568406589844,0.0573853559068615,0.106818639633867,0.0275121119895232,0.0459755984925129,0.0883289860259268,0.127246444865914,0.136198695199485,0.0487271070212098,0.103803687305395,0.148479139707695,0.130576374765202,0.0279354974166895,0.0282676324919068,0.0264149508224084,0.136695486269322,0.0311791366495646,0.105055300750864,0.123579010833111,0.0572616447296033,0.0298919788907599,0.066041999439497,0.112711358615121,0.215035751892587,0.0646488399485207,0.194451843778784,0.119714913014151,0.17834094157722,0.0146489050096273,0.171548747037379
CLSPN,0.0459305946539575,0.0472930533609682,0.0368623232400998,0.148294228581466,0.127299793727665,0.0390229486322398,1.0,0.134865046058846,0.0283375251066721,0.0472187303322484,0.0788649449399319,0.0425008892995334,0.0304611733444082,0.174432081318349,0.150823282986711,0.138390650902622,0.266972461509845,0.228129900921699,0.122781307836505,0.0694759671295573,0.0328624273176526,0.190938861842611,0.161456398903292,0.0691636711901427,0.109087182391457,0.244476284128851,0.0680193205003267,0.118177786948447,0.164004822935028,0.12186652736177,0.0817911824163361,0.0704355542514962,0.183542769010692,0.114025199909207,0.0463303045423726,0.257413498522272,0.0333869883038272,0.0322484796078882,0.186945679721049,0.0379383414060799,0.0491928578141369,0.108431941121962,0.19668855008573,0.13126700419955,0.0609999283765083,0.116925599128154,0.0423066121641993,0.0583675906208028,0.0686351516204616,0.127034523655988,0.138841030435265,0.058415822262666,0.104318113878403,0.164389014194999,0.160701527121663,0.0205246561665877,0.0442320500583973,0.02704276791604,0.225467639837545,0.0292094642599551,0.119033542444633,0.154093954585903,0.0806469460059042,0.0252528591946906,0.0593051541537743,0.133161085918659,0.239399021385765,0.0645285568594035,0.218927204530389,0.108001240042529,0.238788630202064,0.0197894750025869,0.208770057045833
IQGAP3,0.116372020959082,0.171941332230804,0.109137168773986,0.145207806373933,0.303319719723524,0.124716180033615,0.134865046058846,1.0,0.149023953478089,0.146211075605517,0.166768334830842,0.143676181953286,0.189114757307805,0.245772723880425,0.185955827569035,0.171438059064116,0.3364511724971,0.234250390585586,0.189828977401388,0.254495424774236,0.23411605419454,0.348727658558929,0.269519079778012,0.169788702001018,0.168788442114795,0.256251148460671,0.0852435430809264,0.169937474488316,0.328570637383121,0.278535615290804,0.182432155475476,0.153830736199719,0.181785164796673,0.191813359508278,0.187030434535416,0.366259904188829,0.180450225382835,0.115981036784534,0.355076698154599,0.125344761444723,0.137336257448146,0.201782828242486,0.257157232266523,0.183106975977843,0.179289394026661,0.183774612222774,0.135104323295427,0.162559005354804,0.166036823463604,0.172618863014602,0.301245247507617,0.180666724464969,0.187384027569922,0.271350420433767,0.192311842109224,0.0990534265238549,0.129687750868394,0.107365396842178,0.213902021635005,0.116868799268029,0.213305722576052,0.198794394389838,0.135989699281015,0.129366002240499,0.13656825265973,0.168341184106704,0.308721907729083,0.198075580382792,0.28219356527317,0.203804406908436,0.293867649843392,0.106048655113063,0.202918872618259
ORC6,0.0299036087616232,0.068619370508559,0.0334881531369533,0.0313720028178193,0.189669755843681,0.0335433805558583,0.0283375251066721,0.149023953478089,1.0,0.0801287603226541,0.0437412977341113,0.0348190631840787,0.123343689910257,0.146949207377792,0.073146172328952,0.0696581959779432,0.165570557184609,0.1004661859323,0.12704862281352,0.151481770024506,0.08220624221906,0.206706538789404,0.174521571599254,0.127733964636986,0.127292984111404,0.115059590683706,0.0149075889486672,0.120919615058149,0.218055012528003,0.205215751350987,0.157053563187262,0.11446670833745,0.0844285555217232,0.136135290898026,0.0821435277369207,0.192359708536861,0.126851269057881,0.0319450373535952,0.22088445106557,0.0655328950349233,0.0508300096379387,0.0773147353808313,0.151063442099578,0.0938361291226016,0.066359382748107,0.146682472671314,0.0437185352608864,0.0398914954197903,0.0902182083511618,0.0637365884757608,0.181043806774134,0.0603345666143173,0.133588838187321,0.204053653834436,0.0982632491867795,0.0614704755575657,0.0358218679092551,0.053008530447248,0.0925188952416063,0.0368086115657586,0.126558932262084,0.0841373486548586,0.0285147516193029,0.109172280693494,0.0593787108801652,0.0494122861981541,0.157490998904931,0.177757295669552,0.150671206002855,0.114898750272297,0.147392292060974,0.054927091321354,0.0857541772325587
UHRF1,0.0420566828965605,0.0712127637880841,0.0475718924598013,0.0669921083757915,0.175033222226393,0.0403735833609709,0.0472187303322484,0.146211075605517,0.0801287603226541,1.0,0.0693134680848443,0.0445192847609068,0.0709072267386639,0.176312534519017,0.116567753113087,0.102913519142629,0.231338190816604,0.156940360212051,0.159783429395595,0.118425242928954,0.0561831477872477,0.222410099940196,0.195372561871274,0.121597922447697,0.146710935980951,0.180963759063083,0.0283468011718812,0.14381168731199,0.22148960507433,0.18469249572914,0.155929384511179,0.130600283672785,0.132264965404112,0.16946653767301,0.0691586973634848,0.241975525204449,0.0854736606160225,0.038027126652219,0.231883753782406,0.0657484637165063,0.0555278873297074,0.101717077719439,0.196193981117417,0.1303712859096,0.0866063755919655,0.165017727494076,0.061482373100806,0.0585882823712418,0.103442170054088,0.104899604908755,0.17737296944336,0.0614748170220729,0.136883930446923,0.222907788543685,0.142123125240238,0.0450874321192758,0.0462423103538416,0.0479707601610083,0.149122995885078,0.0435693078127534,0.14756482042574,0.128104662347463,0.0483351793642253,0.0636299493901829,0.0737446433738469,0.0932774324956004,0.225009232186907,0.133209362490294,0.215321438275107,0.131345177785783,0.201058073079149,0.060775838560498,0.146086024067469
BIRC5,0.0774547319299313,0.0675491155446341,0.0702178347771863,0.134731613411659,0.17713030230304,0.0641270432718808,0.0788649449399319,0.166768334830842,0.0437412977341113,0.0693134680848443,1.0,0.0709991759070288,0.0472422833938236,0.188010227280857,0.177133749665942,0.156352216991493,0.315084247800484,0.232491916251677,0.184660274383268,0.105576452178341,0.0579196190646706,0.245562123210108,0.19345867924015,0.0971417560408495,0.153553047475096,0.275234064765566,0.0607178878994326,0.161853700753522,0.234322094428988,0.178448341393236,0.127528865580546,0.0989146300584001,0.207200088114386,0.174971773399791,0.065138458623075,0.305015292771807,0.0503444294467431,0.0568365783421996,0.256019704829547,0.0627133051372075,0.0699442936493421,0.11994106302423,0.254370495892654,0.166026923517227,0.0902355586250215,0.15011136267578,0.0695595273096771,0.0972607364216626,0.103873473417465,0.152783384043543,0.195271779657778,0.072222609779594,0.124024523881524,0.218676209325226,0.201178422068345,0.0449172787952946,0.0653800613119266,0.0553315336905704,0.214466607323789,0.0674549477896258,0.166217016634607,0.172700543157933,0.103544648275985,0.0428005530958226,0.0875338168674069,0.165416716181283,0.305531414530744,0.0898050187979045,0.281366176377914,0.158402087852232,0.254958309374275,0.0511338013974034,0.235520118041073
CDK1,0.0357311911028087,0.0512037846726086,0.0274998131371908,0.101583419005653,0.146641427402433,0.0291163652585442,0.0425008892995334,0.143676181953286,0.0348190631840787,0.0445192847609068,0.0709991759070288,1.0,0.0389511844504389,0.156995852632162,0.137007901246866,0.125722160927095,0.251152591701842,0.187202855264069,0.130133491390784,0.0869973910794198,0.0382110152912129,0.203208407034584,0.161739652345863,0.0745979979538959,0.114284822540837,0.210418665088347,0.0327151565050576,0.12090702248466,0.189063156446025,0.144362864090428,0.0936286819616493,0.0727404935930264,0.167841621263636,0.121658291146169,0.0591200390526698,0.250139162389021,0.0419410798021686,0.0213851670857162,0.206113026404289,0.040975819216911,0.0586853060550765,0.102193878175021,0.196057473481021,0.151607040996787,0.0641636336371516,0.122946953238767,0.0333698656694648,0.0489657829090271,0.0803433643581157,0.117312347936951,0.156629340993028,0.0624947917010713,0.100732835184223,0.17163001770385,0.149602387392138,0.0262147991956631,0.0351853527789702,0.0249151137128762,0.173270262502464,0.0352874841959368,0.120652247332631,0.153653304644365,0.0608657048943714,0.029943852567625,0.0671307691249094,0.112576963651355,0.233360543861553,0.0747969773350943,0.216790668476138,0.123789266050236,0.205995460905219,0.0175855485112389,0.18256385553336
RAD54L,0.0289002409872502,0.0650456311745026,0.0309053384175172,0.033058459647625,0.232563796273113,0.0348843790624091,0.0304611733444082,0.189114757307805,0.123343689910257,0.0709072267386639,0.0472422833938236,0.0389511844504389,1.0,0.159491268403872,0.0791144579525938,0.0725874926387739,0.185373616161872,0.110457882582942,0.138908083539285,0.18235704562956,0.0991258147403162,0.233761818944161,0.194381110186685,0.129879365336537,0.123426681352804,0.125307934704647,0.0153968538607111,0.119029934274308,0.250847535137582,0.226511947247115,0.162617865603626,0.10236345400111,0.0876772175816024,0.147890389714124,0.0919583161125851,0.222598079491085,0.149858698492901,0.0351487882999511,0.257074784011349,0.0585947636269743,0.0476005589270563,0.0776553420710111,0.159786290708119,0.0995476685086564,0.0673119832539588,0.137036723874807,0.0386279291618465,0.0423272418223752,0.093089776834767,0.0664552892787069,0.228923808983137,0.0602216357727912,0.126486375213987,0.217192929218458,0.106925725650437,0.0520928405352824,0.0363041187957733,0.0462219562230664,0.102216185823731,0.0376311527313846,0.148428598939814,0.0968050312915432,0.0285244445307128,0.105264208621321,0.0567481202097184,0.0548694851134795,0.175259475108333,0.201498415254361,0.167777374036833,0.125538282912793,0.170644907610609,0.0479775963896209,0.0966909440068727
MYBL2,0.162524504054613,0.183636893955156,0.145709212558113,0.199240125495988,0.233810952622153,0.123362994289156,0.174432081318349,0.245772723880425,0.146949207377792,0.176312534519017,0.188010227280857,0.156995852632162,0.159491268403872,1.0,0.200250085795738,0.201366384174668,0.337066230980326,0.260692890239305,0.19074877057178,0.207032850945302,0.194905070500726,0.307164722350777,0.258444937174988,0.18437630958575,0.190261483496988,0.271545782775306,0.119991141056221,0.189156501315922,0.271630653973835,0.232397202606399,0.184934981489893,0.196139430761601,0.208743992299492,0.19847059413427,0.170479882287939,0.345298539970903,0.162510550061529,0.11635558585439,0.301327824729879,0.142537832766291,0.146416145084085,0.238131375096994,0.260474783056451,0.195202558857251,0.19433400787012,0.213071750080713,0.195451650432311,0.185126472091293,0.164183763696533,0.192033090573375,0.234534711176326,0.21323553053661,0.21119911717365,0.266984741113076,0.218677689703155,0.10999124562799,0.155131770428468,0.141150550117792,0.259019763924594,0.124207599360837,0.216166157664341,0.210829580066594,0.17675929132179,0.131137385837713,0.155212262225244,0.189801650013732,0.295670304365389,0.189818974452605,0.27276412261853,0.195779604715069,0.289310948077276,0.146465254554367,0.212767882734205
ASPM,0.131014635078602,0.146125605325047,0.134083453774831,0.200449930660766,0.195294967440039,0.149357165357859,0.150823282986711,0.185955827569035,0.073146172328952,0.116567753113087,0.177133749665942,0.137007901246866,0.0791144579525938,0.200250085795738,1.0,0.178840207948532,0.352661838396919,0.267090233840606,0.194004297837649,0.126713309614549,0.111483728341988,0.277417666407614,0.207187735933725,0.112483665763322,0.17482318527716,0.309361401454769,0.119014679670387,0.180307443999372,0.261398338428743,0.200999964877436,0.124973063178132,0.118817973505668,0.238182527705435,0.16626972264771,0.114364580949235,0.330260576541277,0.0787241703557169,0.115445026421237,0.28002885669733,0.112147537677489,0.14229653923943,0.177771682318907,0.273058111718369,0.189492963909671,0.152847060430757,0.16450363179626,0.134635869613838,0.181249488645039,0.153759980798791,0.223445104204202,0.202966096990937,0.136925725127728,0.141305590047879,0.223682334273671,0.199948137642799,0.0828510164241392,0.132255241959239,0.0958710625478815,0.230218368280268,0.118976453252234,0.154210879334048,0.188871418370187,0.19178632656809,0.0702177632479221,0.141310490846666,0.218006091950168,0.345825657632255,0.0996206787818337,0.30570924939602,0.168709358968203,0.272752990650672,0.0865492742667304,0.264387823396191
KNL1,0.163124315886016,0.12110470296895,0.123754659666652,0.191615358215945,0.170434585624441,0.11744781674555,0.138390650902622,0.171438059064116,0.0696581959779432,0.102913519142629,0.156352216991493,0.125722160927095,0.0725874926387739,0.201366384174668,0.178840207948532,1.0,0.327398273217862,0.252158345329946,0.170550709221859,0.105407429802534,0.0995903794097425,0.251667375670924,0.19658530528498,0.113014986203376,0.164715417982533,0.282743068839615,0.115211160251764,0.170959627593767,0.229610576707409,0.185535983333708,0.118739578566523,0.114522827524212,0.236247606199878,0.155688416918628,0.114803948348657,0.30727378838374,0.0734734502031924,0.0939847601702833,0.249327434048942,0.108103532305631,0.147622488167296,0.158025344949286,0.280089558356097,0.173372778562196,0.126433499674104,0.172425059135553,0.127539308199678,0.138308320563496,0.12449441490727,0.171861543396862,0.180855689900312,0.147828453577509,0.135585653657952,0.224986362420981,0.198175067576308,0.104345428297771,0.127267421547007,0.111023631550549,0.225100344137897,0.136617523754807,0.151460556992399,0.163400463755437,0.180370268026825,0.0704854058370286,0.146268521555921,0.173913130305599,0.297169479342016,0.0927947518060461,0.265763195884432,0.161141327413612,0.253419513374451,0.0839733245689418,0.228313132592846
DLGAP5,0.254815169952221,0.260225065211637,0.229110578322423,0.340761393717941,0.314804851673237,0.218277651906622,0.266972461509845,0.3364511724971,0.165570557184609,0.231338190816604,0.315084247800484,0.251152591701842,0.185373616161872,0.337066230980326,0.352661838396919,0.327398273217862,1.0,0.36920257574726,0.304119975705116,0.274721739979353,0.245945059904682,0.331247614992637,0.323899981856328,0.23923276719511,0.281877968535534,0.36123380071902,0.199305951376065,0.287860722470399,0.310211438622145,0.28721402754143,0.251574580166721,0.24451659581673,0.346077871637394,0.294342626177907,0.237359459961514,0.352534031054618,0.186902670288952,0.190582122151533,0.322477914131016,0.210264804192763,0.246992042520313,0.334737854496747,0.322317229992013,0.320784874419244,0.283700263338379,0.281291311944102,0.2581571652437,0.299989259211289,0.264791790260263,0.339745562447367,0.321966688489692,0.284329280289151,0.276370787967853,0.292011656547221,0.337726707618092,0.162670863610123,0.238415949197467,0.190170081983143,0.369621755734674,0.217244141640756,0.305911872975136,0.341580824819669,0.312204397002018,0.156437376272313,0.254217699421033,0.347567660684986,0.352929541554105,0.225461570627178,0.346132207257345,0.309167748681824,0.356355381348553,0.180046558279167,0.364682723371961
